PRCP,TAVG,TMAX,TMIN
0.04,47,58,40
0,54,62,48
0.06,54,59,53
0,53,60,50
0.14,47,56,39
0,46,59,36
0.01,49,56,41
0,48,54,44
0,48,53,46
0,47,51,46
0,47,56,44
0,46,66,34
0.04,47,58,39
0,45,56,38
0,46,55,39
0.02,49,59,47
0,47,54,41
0.03,49,57,48
0,45,57,38
0.02,49,59,42
0,46,53,45
0.01,44,54,35
0.05,51,58,47
0,52,58,50
0,51,56,49
0,49,56,47
0,48,57,40
0,45,54,47
0,41,52,32
0,40,51,32
0,45,54,36
0,47,53,44
0.02,49,55,44
0.1,50,54,50
0,51,60,45
0,47,58,42
0,51,60,41
0,52,60,48
0,51,58,47
0,50,58,47
0,54,66,40
0,48,56,45
0,46,55,38
0,47,61,35
0.04,50,63,37
0.3,53,59,51
0.01,53,62,49
0.12,53,63,43
0.02,59,68,52
0,59,68,58
0.06,53,65,44
0.02,49,60,40
0.03,51,63,40
0.19,51,60,48
0,55,62,48
0,58,69,54
0,59,72,51
0,61,70,56
0,61,76,52
0.11,65,77,54
0.86,57,60,56
0.09,54,62,48
0,56,65,52
0.02,59,67,55
0,56,67,48
0.07,57,64,56
0,57,67,52
0.18,54,64,49
0.24,53,64,43
0.36,53,60,50
0,53,64,47
0.53,53,62,46
0.24,57,68,54
0.5,57,66,48
0,60,69,53
0.14,58,65,56
0,57,64,53
0,60,70,56
0,59,70,54
0.02,58,65,54
0,61,71,53
0,68,80,56
0,63,76,54
0,63,77,54
0.06,59,69,55
0.01,67,83,56
0.02,60,68,58
0.01,60,66,57
0.06,59,70,52
0,56,65,53
0.86,52,63,44
0,60,74,52
0.26,55,58,54
0.22,52,56,50
0,52,59,51
0.01,54,65,44
0.03,57,69,47
0.02,58,65,56
0,62,71,58
0,59,67,56
0,62,73,56
0,60,67,57
0,58,71,47
0.05,61,70,57
0.2,57,63,54
0.02,55,59,55
0,56,67,45
0,60,71,48
0.01,59,70,54
0.06,66,77,59
0,61,70,56
0,61,76,49
0,62,74,50
0.38,60,68,63
0.31,54,64,48
0,57,64,53
0,58,66,52
0,61,71,55
0,63,75,53
0.23,60,68,57
0.05,60,68,60
0.06,57,66,51
0,59,69,54
0,59,68,55
0.19,57,66,53
0.46,57,69,52
0.07,58,69,49
0.01,60,71,55
0.04,61,70,57
0,57,67,51
0.28,55,65,48
0.11,55,63,46
0.05,58,67,51
0,56,64,51
0,58,70,47
0.02,56,66,46
0.01,61,71,54
0,58,66,56
0.26,56,65,45
1.3,59,69,55
0.01,56,69,49
0.02,61,69,50
0.22,60,70,50
0.03,55,62,50
0,56,65,51
0.22,55,61,46
0.16,61,68,57
0.02,62,68,57
0,61,69,50
0.01,59,66,54
0,60,66,56
0,59,69,52
0,63,73,57
0.11,62,70,59
0,55,60,51
0.09,56,65,49
0.12,53,62,47
0,53,66,45
0.98,56,66,43
0,60,68,57
0.19,62,67,58
0,57,65,53
0,57,64,51
0.06,58,63,54
0.15,55,65,53
0,55,64,49
0.3,54,63,52
0.11,55,63,49
0.28,52,59,45
0.06,50,60,46
0.04,51,62,43
0.01,52,60,49
0.19,48,54,44
0,50,62,43
0,49,63,42
0,55,67,41
0.57,58,65,53
0.05,53,62,49
0,56,67,47
0,55,64,46
0,58,67,58
0,53,66,44
0.11,53,65,45
0.26,56,58,52
0.04,56,64,51
0.04,55,61,51
0.07,51,61,46
0.02,56,65,47
0.03,53,60,50
0,50,58,44
0.21,53,59,49
0,52,61,46
0.02,49,57,40
0,54,58,47
0,54,58,53
0.05,54,61,47
0.15,56,60,51
0.02,55,62,54
0,54,65,46
0.38,62,68,53
0,59,68,56
0.14,58,63,58
0,57,65,55
0,50,58,47
0,48,58,36
0.11,55,59,47
0.13,50,56,42
0.31,52,55,46
0.02,49,58,43
0.12,57,62,49
0.15,55,60,49
0,53,59,48
0.01,51,57,50
0,45,56,38
0.02,53,57,41
0,50,58,52
0.03,45,56,36
0,53,57,40
0,52,59,47
0,49,52,47
0,48,53,46
0.02,44,50,40
0,42,50,37
0.09,49,55,36
0,45,49,42
0.07,43,53,34
0.04,50,54,37
0.53,47,53,44
0.05,45,48,45
0,40,47,38
0.09,40,51,31
0.04,51,55,38
0.04,47,53,39
0,45,48,41
0.06,40,45,31
0,43,47,35
0.06,42,54,35
0.03,54,58,39
1.36,55,58,54
0.45,47,52,49
0,40,45,37
0,35,42,31
0,35,40,32
0.13,40,49,34
0,43,45,38
0,38,45,31
0,35,41,30
0.01,36,42,33
0,35,42,27
0.01,42,46,29
0.02,46,49,41
0,44,45,44
0,45,52,42
0.28,52,57,42
0.02,43,44,40
0,34,38,33
0.49,33,40,29
0.07,35,39,29
0,31,39,24
0.11,37,44,28
0.16,40,43,34
0,38,43,34
0,40,44,36
0.04,37,48,32
0.01,46,52,35
0,41,50,32
0,50,54,33
0,52,54,49
