"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-05","0.35","58","67","53"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-06","0.04","58","69","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-07","0.20","58","66","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-08","0.00","57","65","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-09","0.00","55","67","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-10","0.00","63","70","57"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-11","0.06","59","64","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-12","0.21","59","65","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-13","0.03","60","70","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-14","0.00","56","63","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-15","0.00","54","65","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-16","0.41","54","61","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-17","0.01","59","65","53"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-18","0.30","57","69","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-19","0.04","56","65","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-20","0.00","60","71","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-21","0.01","58","67","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-22","0.00","55","64","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-23","0.00","56","65","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-24","0.00","54","60","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-25","0.17","54","64","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-26","0.17","54","59","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-27","0.11","56","66","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-28","0.13","54","64","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-29","0.07","52","62","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-30","0.02","53","62","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-07-31","0.09","56","65","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-01","0.26","57","67","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-02","0.02","58","64","53"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-03","0.03","61","68","58"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-04","0.13","59","67","56"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-05","0.06","58","67","53"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-06","0.00","57","66","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-07","0.06","56","63","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-08","0.03","57","67","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-09","0.00","62","69","57"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-10","0.01","60","69","58"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-11","0.00","56","66","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-12","0.00","55","67","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-13","0.00","56","69","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-14","0.03","56","63","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-15","0.00","53","63","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-16","0.01","58","65","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-17","0.00","57","69","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-18","0.20","61","76","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-19","0.24","60","69","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-20","0.01","62","72","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-21","0.00","64","72","60"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-22","1.00","58","63","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-23","0.39","56","58","55"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-24","0.00","56","66","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-25","0.64","53","59","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-26","0.00","57","66","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-27","0.20","55","67","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-28","0.01","57","67","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-29","0.13","58","66","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-30","0.00","55","65","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-08-31","0.32","53","62","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-01","0.06","53","62","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-02","0.00","51","59","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-03","0.00","52","58","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-04","0.00","55","62","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-05","0.00","53","62","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-06","0.00","51","59","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-07","0.00","53","61","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-08","0.00","56","66","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-09","0.00","55","63","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-10","0.00","58","66","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-11","0.46","57","62","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-12","0.03","55","62","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-13","0.04","53","61","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-14","0.06","54","58","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-15","0.00","53","62","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-16","0.00","51","61","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-17","0.15","54","63","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-18","0.00","54","61","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-19","0.00","53","65","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-20","0.23","56","63","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-21","0.33","54","63","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-22","0.00","51","61","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-23","0.03","53","64","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-24","0.05","52","59","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-25","0.00","52","60","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-26","0.00","54","64","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-27","0.00","54","65","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-28","0.00","52","65","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-29","0.00","55","65","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-09-30","0.00","53","60","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-01","0.00","51","63","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-02","0.00","51","61","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-03","0.00","48","54","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-04","0.43","50","58","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-05","0.00","57","64","54"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-06","0.09","57","65","52"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-07","0.00","51","60","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-08","0.00","53","64","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-09","0.00","55","63","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-10","0.00","53","58","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-11","0.00","50","59","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-12","0.00","47","57","44"
